PubMed_IDs_TP,PMC_IDs_TP
"30943912, 28782508","10799433, 10796827, 10796730, 10795830, 10787393, 10779796, 10778712, 10774275, 10767244, 10764432, 10752970, 10746385, 10721150, 10714647, 10703902, 10701771, 10800223, 10799930, 10795478, 10775441"
"38257863, 38133321, 38054580, 38024289, 38019873, 37805634, 37734910, 37720571, 37672855, 37588005, 37526424, 37512838, 37509618, 37444313, 37385329, 37324319, 37250025, 37151884, 37049583, 36836254","10285162, 9632171, 7167988, 4669991, 3552019, 10285162, 9632171, 6350633, 7167988, 4669991, 10773890, 10664798, 10580853, 10580657, 10499723, 10459351, 10623351, 10586544, 10501226, 10488039, 10425684, 10285162, 9896537, 10178897, 10040535, 9970157, 9908033, 9864076, 9811586, 9745698"
,"10801111, 10800910, 10800300, 10800207, 10800157, 10799778, 10798865, 10798365, 10797776, 10796980, 10796631, 10796567, 10796354, 10795779, 10794624, 10794557, 10794526, 10794237, 10793686, 10793679, 10688821, 10704648, 10526165, 10449545, 10415973, 10388732, 10349203, 10342188, 10333588, 10686596, 10683977, 10311452, 10268008, 10588641, 10581186, 10526035, 10440924, 10376922, 10363720, 10301429, 10604038, 10546717, 10418921, 10333588, 10683977, 10640760, 10268008, 10368401, 10363720, 10219307, 10026263, 9904196, 10197139, 9960958, 9874984, 9671505, 9538375, 9140143, 8747253, 8712166"
"38165179, 38149632, 38115028, 38110547, 38108386, 38066426, 38051969, 38046822, 38010886, 37972721, 37967575, 37947307, 37932270, 37909786, 37873588, 37860069, 37844527, 37842912, 37805634, 37759696","10801988, 10800978, 10800840, 10799726, 10797722, 10797684, 10797188, 10797056, 10797050, 10796754, 10796445, 10796116, 10795193, 10795108, 10794208, 10794176, 10793335, 10791928, 10791799, 10790581, 10770391, 10769383, 10758118, 10755693, 10749974, 10744825, 10742414, 10740661, 10740609, 10734418, 10728896, 10728087, 10727122, 10726224, 10721521, 10718183, 10714794, 10705518, 10705402, 10700112, 10799726, 10790441, 10789658, 10783004, 10783000, 10781435, 10771303, 10767866, 10757628, 10745628, 10744147, 10734526, 10734472, 10726253, 10719579, 10719068, 10712113, 10710508, 10695958, 10694361"
"38259389, 38258906, 38258020, 38257863, 38255916, 38255150, 38248835, 38247868, 38246590, 38244236, 38241751, 38238335, 38233198, 38227799, 38226896, 38225565, 38219386, 38203843, 38203747, 38203712","10778587, 10673864, 10594787, 10508750, 10348547, 10663299, 10451537, 10339973, 10256149, 10208420, 10090919, 10047186, 10028750, 10173311, 9809056, 9803957, 9798587, 9703018, 9669451, 9628617, 10778587, 10594787, 10491925, 10478809, 10663299, 10246037, 9911272, 9809056, 9780445, 9669451, 9628617, 9795194, 9671473, 9520533, 9468934, 9362776, 9318041, 9100044, 8709560, 7910613, 10778587, 10707323, 10693103, 10799055, 10761137, 10745701, 10672200, 10654666, 10642442, 10641680, 10625522, 10610350, 10594787, 10586855, 10454046, 10407468, 10350567, 10345191, 10647368, 10278966"
"38259389, 38258906, 38258020, 38257863, 38255916, 38255150, 38248835, 38247868, 38246590, 38244236, 38241751, 38238335, 38233198, 38227799, 38226896, 38225565, 38219386, 38203843, 38203747, 38203712","10653868, 10102598, 9765748, 9504724, 9352398, 8459765, 7174352, 5936718, 5847655, 5738725, 5717152"
"38158691, 38147604, 38133321, 38124090, 38094217, 38078655, 38059748, 38038481, 38038385, 38005855, 37990426, 37971273, 37940667, 37897434, 37861390, 37774039, 37772795, 37771255, 37739064, 37734419","10746460, 10776604, 10621067, 10472577, 10469281, 10314856, 10655051, 10643165, 9979440, 9953403, 9741991, 9880963, 9656981, 9486099, 9386263, 9026731, 8504100, 7830403, 8284010, 7419048, 10802212, 10801195, 10798984, 10779210, 10775858, 10774412, 10759261, 10758001, 10743219, 10733581, 10708332, 10705675, 10704556, 10779434, 10778721, 10778203, 10759635, 10755590, 10741491, 10720086, 10801495, 10801024, 10801008, 10800986, 10800980, 10800968, 10800936, 10800934, 10800828, 10800824, 10800556, 10800505, 10800459, 10800421, 10800289, 10800116, 10800091, 10800063, 10799563, 10799433, 10794430, 10794012, 10778507, 10770396, 10769421, 10765495, 10765065, 10746460, 10741644, 10741174, 10725587, 10722299, 10712249, 10694457, 10691297, 10799930, 10798927, 10777977, 10776604, 10770166"
"38225565, 38194476, 38191834, 38138026, 38078699, 38054580, 38044504, 37951857, 37940667, 37936149, 37935653, 37932270, 37882604, 37849974, 37836432, 37805634, 37789460, 37774039, 37739064, 37734419","10803070, 10798956, 10776400, 10775455, 10762263, 10760964, 10760956, 10755595, 10753951, 10721144, 10721132, 10716479, 10694921, 10691777, 10794645, 10783990, 10773964, 10765531, 10749961, 10749368, 10802914, 10802843, 10802129, 10801599, 10801004, 10800976, 10800970, 10800968, 10800824, 10800505, 10800401, 10800382, 10800116, 10799456, 10799120, 10799112, 10798966, 10798865, 7615547, 10797874, 10803166, 10803070, 10802914, 10802843, 10802810, 10802708, 10802212, 10802208, 10802203, 10802158, 10802129, 10802103, 10802047, 10802000, 10801956, 10801940, 10801734, 10801732, 10801642, 10801633"
"38259389, 38258906, 38258020, 38257863, 38255916, 38255150, 38248835, 38247868, 38246590, 38244236, 38241751, 38238335, 38233198, 38227799, 38226896, 38225565, 38219386, 38203843, 38203747, 38203712","10802683, 10800207, 10798254, 10797044, 10795475, 10794282, 10790632, 10788479, 10787762, 10778733, 10774906, 10774121, 10771991, 10764629, 10761154, 10750204, 10754999, 10746385, 10740941, 10732641, 10800207, 10797044, 10790632, 10788479, 10721521, 10713265, 10800223, 10775600, 10763922, 10742837, 10741649, 10730203, 10704269, 10673619, 10664138, 10654077, 10649575, 10613033, 10610499, 10562751, 10802683, 10800207, 10798254, 10795475, 10788479, 10784652, 10774906, 10773488, 10764629, 10761154, 10756490, 10757718, 10746385, 10740941, 10740220, 10734668, 10732641, 10730181, 10728109, 10721521, 10802158, 10800970, 10800207, 10798763, 10797044, 10795475, 10795359, 10788728, 10788479, 10788419, 10784627, 10783409, 10778299, 10776710, 10774121, 10771991, 10771701, 10768204, 10764629, 10761154"
"38259106, 38255265, 38249980, 38242997, 38239362, 38237601, 38227933, 38227652, 38224478, 38221621, 38220540, 38218985, 38218816, 38211733, 38196658, 38196273, 38185382, 38181823, 38179773, 38179241","10801516, 10800207, 10797776, 10796730, 10796567, 10795779, 10794557, 10794526, 10793102, 10793097, 10791998, 10791926, 10791026, 10790211, 10789386, 10788454, 10785269, 10782298, 10781531, 10781493, 10800401, 10800207, 10800091, 10798862, 10798370, 10797776, 10797652, 10796567, 10791926, 10790211, 10790054, 10785269, 10785125, 10785090, 10784143, 10780906, 10780634, 10780214, 10779964, 10779093"
"38258906, 38257292, 38251507, 38246590, 38243324, 38235606, 38220553, 38220140, 38211590, 38199515, 38199135, 38198849, 38196386, 38193202, 38186999, 38172977, 38170255, 38169708, 38168574, 38165564, 38259389, 38258906, 38257139, 38255916, 38252282, 38247868, 38247459, 38246590, 38244236, 38241751, 38239508, 38236446, 38233198, 38232665, 38227962, 38227799, 38226896, 38222911, 38219386, 38214657, 37935074, 36868479, 36747766, 36162004, 35900107, 35518840, 35371619, 34883389, 34126769, 33777833, 33710922, 33629501, 33550886, 33396408, 33255175, 31866067, 31624723, 30977112, 30228258, 30222063","10802075, 10801615, 10801499, 10801213, 10800852, 10800775, 10800736, 10800207, 10799462, 10797973, 10797092, 10796609, 10796429, 10794773, 10793784, 10793081, 10791944, 10788641, 10788319, 10788095, 10802683, 10802103, 10801499, 10800816, 10800775, 10800726, 10800390, 10800207, 10799955, 10799708, 10799597, 10799574, 10798712, 10798156, 10797797, 10797708, 10797064, 10796998, 10796609, 10796403"
"38197634, 38007572, 37595951, 37314693, 37122632, 36709599, 36596826, 36594489, 36594243, 36536466, 36534254, 36208084, 35921778, 35684007, 35386224, 35373097, 35222309, 35080177, 35032662, 34777363","10803162, 10802810, 10802000, 10801810, 10801642, 10801633, 10801599, 10801078, 10801026, 10800980, 10800968, 10800960, 10800934, 10800892, 10800828, 10800775, 10800720, 10800711, 10800548, 10800505, 10802208, 10802000, 10801633, 10801599, 10801004, 10800986, 10800980, 10800968, 10800944, 10800934, 10800828, 10800824, 10800820, 10800775, 10800720, 10800548, 10800459, 10800455, 10800441, 10800421, 10802047, 10802000, 10801642, 10801527, 10800968, 10800824, 10800548, 10800401, 10800390, 10800116, 10799910, 10799631, 10799627, 10799433, 10799425, 10799368, 10799134, 10798966, 10798567, 10798368"
"38259389, 38258906, 38258020, 38257863, 38255916, 38255150, 38248835, 38247868, 38246590, 38244236, 38241751, 38238335, 38233198, 38227799, 38226896, 38225565, 38219386, 38203843, 38203747, 38203712","10707298, 10487657, 10647592, 10575740, 10526443, 10494633, 10340729, 10224672, 10164749, 9934665, 9881025, 10052714, 9973195, 9951060, 9881416, 9818817, 9750998, 9682198, 9414437, 9308782, 10800824, 10799627, 10795684, 10792915, 10792489, 10791659, 10787430, 10782470, 10782415, 10782118, 10782058, 10780454, 10779351, 10778781, 10777654, 10771377, 10771119, 10767224, 10763382, 10761718"
"38258906, 38258020, 38248835, 38246590, 38233198, 38226896, 38219386, 38203747, 38203712, 38196386, 38194476, 38191834, 38181823, 38178260, 38177086, 38172977, 38165179, 38164789, 38163708, 38154402","10800370, 10800207, 10799627, 10799433, 10799134, 10798825, 10798368, 10798156, 10797874, 10797287, 10796827, 10795746, 10794742, 10794567, 10793099, 10791939, 10791785, 10791779, 10791512, 10790434, 10801516, 10801221, 10800968, 10800824, 10800370, 10800207, 10800180, 10800116, 10799935, 10799862, 10799464, 10799433, 10799430, 10799134, 10799076, 10799024, 7615551, 10798734, 10798697, 10798368"
"38259389, 38258906, 38258020, 38257863, 38255916, 38255150, 38248835, 38247868, 38246590, 38244236, 38241751, 38238335, 38233198, 38227799, 38226896, 38225565, 38219386, 38203843, 38203747, 38203712","10794330, 10789173, 10774906, 10756889, 10751745, 10746084, 10743646, 10743251, 10727927, 10721699, 10709752, 10708281, 10798460, 10790595, 10787907, 10786197, 10786182, 10771565, 10758535, 10749345, 9434591, 8915975"
